City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,enewetak,11.3474,162.3373,28.74,73,18,7.76,MH,1721513608
192,touros,-5.1989,-35.4608,24.08,81,4,5.65,BR,1721513609
193,port augusta,-32.5,137.7667,8.07,91,4,4.29,AU,1721513611
194,armacao de buzios,-22.7469,-41.8817,19.91,72,1,2.23,BR,1721513612
195,la passe,45.5549,-0.8967,20.13,92,64,5.04,FR,1721513613
196,college,64.8569,-147.8028,23.93,40,20,2.57,US,1721513614
197,muynoq,43.7683,59.0214,26.13,46,32,4.69,UZ,1721513615
198,itaituba,-4.2761,-55.9836,29.6,48,55,0.56,BR,1721513616
199,hobyo,5.3505,48.5268,24.08,82,100,9.88,SO,1721513618
200,san juan,-31.5375,-68.5364,10.71,42,0,4.07,AR,1721513380
201,mugia,43.1041,-9.2179,16.76,78,98,5.74,ES,1721513620
202,kununurra,-15.7667,128.7333,10.99,82,5,2.06,AU,1721513621
203,tutoia,-2.7619,-42.2744,26.65,74,14,5.28,BR,1721513622
204,tolanaro,-25.0319,46.9987,16.04,100,0,1.03,MG,1721513623
205,cururupu,-1.8283,-44.8683,23.43,86,11,1.02,BR,1721513625
206,san luis de la loma,17.2706,-100.8939,30.97,60,100,3.19,MX,1721513626
207,quellon,-43.1167,-73.6167,6.84,89,100,2.32,CL,1721513627
208,naze,28.3667,129.4833,28.0,82,17,2.52,JP,1721513628
209,igarka,67.4667,86.5833,8.25,64,48,8.79,RU,1721513629
210,conde,-7.2597,-34.9075,21.7,100,75,3.6,BR,1721513630
211,sinabang,2.4803,96.3801,26.89,83,100,1.84,ID,1721513631
212,kodinsk,58.6881,99.1844,17.18,93,25,1.38,RU,1721513633
213,molchanovo,57.5817,83.7692,15.58,95,100,1.83,RU,1721513635
214,san ignacio,17.1561,-89.0714,23.08,94,75,3.09,BZ,1721513636
215,yaren,-0.5472,166.916,28.69,77,66,8.56,NR,1721513637
216,cochrane,51.1834,-114.4687,30.92,36,1,5.01,CA,1721513428
217,santa ana de yacuma,-13.75,-65.4333,31.97,43,6,0.0,BO,1721513640
218,zhezqazghan,47.7833,67.7667,19.39,62,26,2.31,KZ,1721513641
219,newman,37.3138,-121.0208,41.19,10,0,3.97,US,1721513642
220,quarai,-30.3875,-56.4514,15.57,92,100,4.7,BR,1721513643
221,noumea,-22.2763,166.4572,20.56,99,0,2.11,NC,1721513644
222,hasaki,35.7333,140.8333,26.27,93,100,2.74,JP,1721513645
223,howrah,22.5892,88.3103,28.0,89,40,1.54,IN,1721513647
224,dakoro,14.5106,6.765,30.49,51,100,5.17,NE,1721513648
225,crane,31.3974,-102.3501,35.64,22,41,4.91,US,1721513650
226,novo aripuana,-5.1206,-60.3797,29.76,40,8,1.05,BR,1721513651
227,kingston,17.997,-76.7936,31.53,70,40,7.2,JM,1721513653
228,arawa,-6.2132,155.5367,27.88,80,14,1.9,PG,1721513654
229,fauske,67.2588,15.3918,18.21,82,54,1.93,NO,1721513655
230,miyaly,48.8844,53.7836,27.45,32,74,2.56,KZ,1721513656
231,luderitz,-26.6481,15.1594,13.84,60,73,6.94,NA,1721513657
232,yigo village,13.5361,144.8886,28.62,87,100,7.2,GU,1721513658
233,vrangel',42.7297,133.0839,19.41,100,100,2.58,RU,1721513660
234,hadibu,12.65,54.0333,26.02,81,94,11.28,YE,1721513661
235,wajir,1.7471,40.0573,26.37,63,99,8.46,KE,1721513662
236,dunedin,-45.8742,170.5036,10.45,81,21,2.24,NZ,1721513663
237,kuala terengganu,5.3302,103.1408,24.45,95,100,1.85,MY,1721513664
238,lobatse,-25.2167,25.6667,9.23,32,2,2.53,BW,1721513667
239,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.06,GF,1721513668
240,miri,4.4148,114.0089,25.08,100,40,0.0,MY,1721513669
241,plastun,44.7561,136.2939,18.73,99,100,2.39,RU,1721513670
242,burang,30.25,81.1667,11.31,81,97,2.0,CN,1721513671
243,pangody,65.85,74.4859,6.44,72,35,5.3,RU,1721513672
244,salalah,17.0151,54.0924,25.05,100,100,1.54,OM,1721513674
245,alofi,-19.0595,-169.9187,26.94,69,40,3.09,NU,1721513675
246,namibe,-15.1961,12.1522,17.01,85,79,0.56,AO,1721513676
247,rafsanjan,30.4067,55.9939,32.74,14,0,5.07,IR,1721513677
248,geraldton,-28.7667,114.6,8.23,87,0,6.69,AU,1721513406
249,walvis bay,-22.9575,14.5053,11.16,74,6,1.98,NA,1721513679
250,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,63,0,1.0,RU,1721513681
251,ngereklmadel,7.4883,134.4856,26.05,89,100,4.63,PW,1721513682
252,lazaro cardenas,17.9583,-102.2,30.79,60,100,2.36,MX,1721513683
253,tubarjal,30.4999,38.216,30.24,36,0,5.76,SA,1721513684
254,mont-tremblant,46.1949,-74.6264,18.1,100,99,0.0,CA,1721513685
255,kapurthala,31.3794,75.3847,34.2,52,100,3.21,IN,1721513686
256,laibin,23.7,109.2667,25.07,95,95,0.19,CN,1721513687
257,paciran,-6.8767,112.3761,24.25,86,81,3.55,ID,1721513689
258,cabedelo,-6.9811,-34.8339,22.37,82,6,5.87,BR,1721513690
259,chernyshevskiy,63.0128,112.4714,15.45,63,100,1.15,RU,1721513691
260,loen,7.7601,168.2307,28.16,77,12,6.48,MH,1721513692
261,paris,48.8534,2.3488,25.28,59,75,5.14,FR,1721513101
262,ciudad lazaro cardenas,17.9583,-102.2,30.79,60,100,2.36,MX,1721513657
263,sudak,44.85,34.9667,22.43,63,0,2.63,UA,1721513695
264,buritis,-15.6178,-46.4233,21.54,37,2,1.27,BR,1721513697
265,finale ligure,44.1695,8.3436,27.31,81,4,1.34,IT,1721513698
266,taourirt,34.4073,-2.8973,30.95,20,1,1.48,MA,1721513699
267,al fuwayliq,26.4432,43.2534,32.8,13,52,5.34,SA,1721513700
268,eyl,7.9803,49.8164,25.37,67,96,11.11,SO,1721513703
269,sakakah,29.9697,40.2064,29.76,16,0,3.25,SA,1721513704
270,olonkinbyen,70.9221,-8.7187,4.58,94,100,3.12,SJ,1721513705
271,birao,10.2849,22.7882,22.63,97,100,1.59,CF,1721513706
272,bull savanna,17.8868,-77.5902,28.03,69,60,6.9,JM,1721513707
273,bani walid,31.7566,13.9942,26.93,46,0,2.52,LY,1721513708
274,glendive,47.1053,-104.7125,33.79,25,0,1.54,US,1721513710
275,la grande,45.3246,-118.0877,36.68,16,0,3.79,US,1721513711
276,astrakhan,46.3497,48.0408,27.93,47,40,5.0,RU,1721513622
277,ghanzi,-21.5667,21.7833,13.43,22,7,3.6,BW,1721513713
278,abepura,-2.6333,140.5833,25.45,94,40,0.51,ID,1721513714
279,pribram,49.6899,14.0104,20.48,75,23,1.8,CZ,1721513715
280,san patricio,28.017,-97.5169,33.93,50,61,6.53,US,1721513717
281,bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1721513718
282,happy valley-goose bay,53.3168,-60.3315,17.17,77,75,3.09,CA,1721513719
283,mont-dore,-22.2833,166.5833,20.56,99,0,1.36,NC,1721513720
284,barlinek,52.9946,15.2186,18.93,61,100,3.36,PL,1721513721
285,chiredzi,-21.05,31.6667,16.78,50,0,2.14,ZW,1721513722
286,katsuura,35.1333,140.3,25.6,92,74,4.17,JP,1721513724
287,bandarbeyla,9.4942,50.8122,25.54,74,94,14.33,SO,1721513725
288,barentu,15.1139,37.5928,21.8,86,100,3.45,ER,1721513726
289,waslala,13.2333,-85.3833,26.38,93,83,2.03,NI,1721513727
290,jertih,5.7336,102.4897,24.49,94,100,1.98,MY,1721513728
291,kupang,-10.1667,123.5833,24.32,83,10,3.09,ID,1721513729
292,gremyachevo,54.7503,38.5869,15.03,92,100,3.1,RU,1721513730
293,kalajoki,64.25,23.95,17.17,85,98,2.35,FI,1721513732
294,prieska,-29.6641,22.7474,6.24,38,0,1.17,ZA,1721513733
295,caluula,11.9661,50.7569,30.48,69,97,2.9,SO,1721513734
296,russkaya polyana,49.417,31.9201,18.06,60,59,2.63,UA,1721513735
297,collie,-33.3667,116.15,12.64,85,99,4.22,AU,1721513736
298,yushu,44.8,126.5333,20.93,95,95,4.77,CN,1721513737
299,sassandra,4.95,-6.0833,24.02,88,88,4.74,CI,1721513739
300,mili,6.0815,171.735,28.81,76,72,6.44,MH,1721513740
301,susuman,62.7833,148.1667,11.7,83,100,2.91,RU,1721513741
302,koz'modem'yansk,56.3367,46.5711,15.36,94,96,0.93,RU,1721513742
303,revda,56.801,59.9303,15.47,99,100,2.08,RU,1721513743
304,monrovia,6.3005,-10.7969,23.87,97,100,5.35,LR,1721513744
305,ad darb,17.7229,42.2526,32.7,49,100,2.75,SA,1721513746
306,altai,46.3722,96.2583,12.24,65,0,1.11,MN,1721513747
307,ljusdal,61.8288,16.0913,14.34,96,29,0.65,SE,1721513748
308,lamu,-2.2717,40.902,24.46,84,91,6.36,KE,1721513749
309,west helena,34.5507,-90.6418,31.86,67,87,3.35,US,1721513750
310,tanumah,27.1,44.1333,34.44,11,97,4.61,SA,1721513752
311,thunder bay,48.4001,-89.3168,23.99,57,75,3.6,CA,1721513753
312,santana,-0.0583,-51.1817,27.1,89,20,1.54,BR,1721513754
313,stalowa wola,50.5829,22.0533,20.48,77,100,0.45,PL,1721513755
314,shenjiamen,29.9576,122.298,26.54,93,88,8.32,CN,1721513756
